gate,condition,input,probability,valid
AND,Y=0,00,0.3313106114932944,True
AND,Y=0,01,0.3313106114932944,True
AND,Y=0,10,0.3313106114932944,True
AND,Y=0,11,0.006068165520116885,False
AND,Y=1,00,5.927060149472919e-06,False
AND,Y=1,01,0.017668317292248027,False
AND,Y=1,10,0.017668317292248027,False
AND,Y=1,11,0.9646574383553544,True
OR,Y=0,00,0.9646574383553544,True
OR,Y=0,01,0.017668317292248027,False
OR,Y=0,10,0.017668317292248027,False
OR,Y=0,11,5.927060149472919e-06,False
OR,Y=1,00,0.006068165520116885,False
OR,Y=1,01,0.3313106114932944,True
OR,Y=1,10,0.3313106114932944,True
OR,Y=1,11,0.3313106114932944,True
NAND,Y=0,00,5.927060149472919e-06,False
NAND,Y=0,01,0.017668317292248027,False
NAND,Y=0,10,0.017668317292248027,False
NAND,Y=0,11,0.9646574383553544,True
NAND,Y=1,00,0.3313106114932944,True
NAND,Y=1,01,0.3313106114932944,True
NAND,Y=1,10,0.3313106114932944,True
NAND,Y=1,11,0.006068165520116885,False
NOR,Y=0,00,0.006068165520116885,False
NOR,Y=0,01,0.3313106114932944,True
NOR,Y=0,10,0.3313106114932944,True
NOR,Y=0,11,0.3313106114932944,True
NOR,Y=1,00,0.9646574383553544,True
NOR,Y=1,01,0.017668317292248027,False
NOR,Y=1,10,0.017668317292248027,False
NOR,Y=1,11,5.927060149472919e-06,False
HA/XOR,S=0,00,0.3935211319710863,True
HA/XOR,S=0,01,0.10647886802891375,False
HA/XOR,S=0,10,0.10647886802891375,False
HA/XOR,S=0,11,0.3935211319710863,True
HA/XOR,S=1,00,0.05623326697540965,False
HA/XOR,S=1,01,0.41565010586510526,True
HA/XOR,S=1,10,0.41565010586510526,True
HA/XOR,S=1,11,0.11246652129437969,False
XNOR,S=0,00,0.05623326697540965,False
XNOR,S=0,01,0.41565010586510526,True
XNOR,S=0,10,0.41565010586510526,True
XNOR,S=0,11,0.11246652129437969,False
XNOR,S=1,00,0.3935211319710863,True
XNOR,S=1,01,0.10647886802891375,False
XNOR,S=1,10,0.10647886802891375,False
XNOR,S=1,11,0.3935211319710863,True
FA,"S=0, COUT=0",000,0.7107258646776154,True
FA,"S=0, COUT=0",001,0.09618628619973156,False
FA,"S=0, COUT=0",010,0.09618628619973156,False
FA,"S=0, COUT=0",011,0.000238421966283038,False
FA,"S=0, COUT=0",100,0.09618628619973156,False
FA,"S=0, COUT=0",101,0.000238421966283038,False
FA,"S=0, COUT=0",110,0.000238421966283038,False
FA,"S=0, COUT=0",111,1.0824340523083464e-08,False
FA,"S=0, COUT=1",000,9.471859410362397e-05,False
FA,"S=0, COUT=1",001,0.0382122081405531,False
FA,"S=0, COUT=1",010,0.0382122081405531,False
FA,"S=0, COUT=1",011,0.2823521496145613,True
FA,"S=0, COUT=1",100,0.0382122081405531,False
FA,"S=0, COUT=1",101,0.2823521496145613,True
FA,"S=0, COUT=1",110,0.2823521496145613,True
FA,"S=0, COUT=1",111,0.0382122081405531,False
FA,"S=1, COUT=0",000,0.03821220814055311,False
FA,"S=1, COUT=0",001,0.28235214961456134,True
FA,"S=1, COUT=0",010,0.28235214961456134,True
FA,"S=1, COUT=0",011,0.03821220814055311,False
FA,"S=1, COUT=0",100,0.28235214961456134,True
FA,"S=1, COUT=0",101,0.03821220814055311,False
FA,"S=1, COUT=0",110,0.03821220814055311,False
FA,"S=1, COUT=0",111,9.471859410362399e-05,False
FA,"S=1, COUT=1",000,1.0824340523083465e-08,False
FA,"S=1, COUT=1",001,0.00023842196628303807,False
FA,"S=1, COUT=1",010,0.00023842196628303807,False
FA,"S=1, COUT=1",011,0.09618628619973159,False
FA,"S=1, COUT=1",100,0.00023842196628303807,False
FA,"S=1, COUT=1",101,0.09618628619973159,False
FA,"S=1, COUT=1",110,0.09618628619973159,False
FA,"S=1, COUT=1",111,0.7107258646776157,True
