run,block0,block1,block2,block3,copy_cycles,solve_cycles,trials_total,hits,success_rate,above_baseline,min_hits,fail_cases
w1_1_2_1,1,1,2,1,2,11,25600,23866,0.932265625,True,68,256
w1_1_3_1,1,1,3,1,2,12,25600,23941,0.9351953125,True,70,256
w1_2_3_1,1,2,3,1,2,13,25600,24119,0.9421484375,True,65,256
w2_1_3_1,2,1,3,1,2,13,25600,24379,0.9523046875,True,70,209
w2_2_3_1,2,2,3,1,2,14,25600,24365,0.9517578125,True,72,213
w2_2_4_2,2,2,4,2,2,16,25600,24654,0.963046875,True,79,184
w3_3_5_2,3,3,5,2,2,19,25600,24812,0.96921875,True,76,183
w4_3_6_3,4,3,6,3,2,22,25600,24928,0.97375,True,82,182
w4_4_4_4,4,4,4,4,2,22,25600,24934,0.973984375,True,85,175
w5_5_5_5,5,5,5,5,2,26,25600,25052,0.97859375,True,82,175
w5_4_8_3,5,4,8,3,2,26,25600,25073,0.9794140625,True,83,179
w6_5_10_4,6,5,10,4,2,31,25600,25110,0.980859375,True,73,161
w8_6_12_5,8,6,12,5,2,37,25600,25241,0.9859765625,True,91,158
w10_8_16_6,10,8,16,6,2,46,25600,25287,0.9877734375,True,89,153
w40_40_40_40,40,40,40,40,2,166,25600,25511,0.9965234375,True,97,77
