"sum","valid_total","invalid_total","valid_prob","zero_valid_pairs","top_a","top_b","top_count","top_prob_all_trials","trials","reverse","block_rnd","copy_rnd","blocks","copy"
"0","0","1000","0.000000","1","0","0","0","0.000000","1000","true","0","0","10,8,16,6","2"
"1","0","1000","0.000000","2","0","1","0","0.000000","1000","true","0","0","10,8,16,6","2"
"2","193","807","0.193000","0","1","1","91","0.091000","1000","true","0","0","10,8,16,6","2"
"3","195","805","0.195000","3","0","3","195","0.195000","1000","true","0","0","10,8,16,6","2"
"4","587","413","0.587000","0","3","1","352","0.352000","1000","true","0","0","10,8,16,6","2"
"5","759","241","0.759000","0","5","0","189","0.189000","1000","true","0","0","10,8,16,6","2"
"6","988","12","0.988000","1","2","4","330","0.330000","1000","true","0","0","10,8,16,6","2"
"7","989","11","0.989000","1","0","7","413","0.413000","1000","true","0","0","10,8,16,6","2"
"8","982","18","0.982000","3","2","6","296","0.296000","1000","true","0","0","10,8,16,6","2"
"9","983","17","0.983000","4","5","4","376","0.376000","1000","true","0","0","10,8,16,6","2"
"10","990","10","0.990000","5","5","5","396","0.396000","1000","true","0","0","10,8,16,6","2"
"11","990","10","0.990000","7","4","7","294","0.294000","1000","true","0","0","10,8,16,6","2"
"12","981","19","0.981000","3","6","6","296","0.296000","1000","true","0","0","10,8,16,6","2"
"13","978","22","0.978000","2","6","7","208","0.208000","1000","true","0","0","10,8,16,6","2"
"14","987","13","0.987000","7","2","12","330","0.330000","1000","true","0","0","10,8,16,6","2"
"15","989","11","0.989000","6","0","15","413","0.413000","1000","true","0","0","10,8,16,6","2"
"16","982","18","0.982000","5","2","14","296","0.296000","1000","true","0","0","10,8,16,6","2"
"17","983","17","0.983000","5","5","12","307","0.307000","1000","true","0","0","10,8,16,6","2"
"18","990","10","0.990000","6","6","12","357","0.357000","1000","true","0","0","10,8,16,6","2"
"19","990","10","0.990000","5","4","15","294","0.294000","1000","true","0","0","10,8,16,6","2"
"20","979","21","0.979000","3","11","9","351","0.351000","1000","true","0","0","10,8,16,6","2"
"21","976","24","0.976000","2","6","15","208","0.208000","1000","true","0","0","10,8,16,6","2"
"22","985","15","0.985000","3","10","12","330","0.330000","1000","true","0","0","10,8,16,6","2"
"23","987","13","0.987000","1","8","15","413","0.413000","1000","true","0","0","10,8,16,6","2"
"24","981","19","0.981000","1","10","14","296","0.296000","1000","true","0","0","10,8,16,6","2"
"25","982","18","0.982000","0","13","12","374","0.374000","1000","true","0","0","10,8,16,6","2"
"26","796","204","0.796000","2","13","13","394","0.394000","1000","true","0","0","10,8,16,6","2"
"27","794","206","0.794000","0","12","15","294","0.294000","1000","true","0","0","10,8,16,6","2"
"28","398","602","0.398000","0","14","14","296","0.296000","1000","true","0","0","10,8,16,6","2"
"29","223","777","0.223000","0","14","15","210","0.210000","1000","true","0","0","10,8,16,6","2"
"30","0","1000","0.000000","1","15","15","0","0.000000","1000","true","0","0","10,8,16,6","2"
